Lum	Lum_e
5.382	0.079
3.216	0.033
4.223	0.091
4.733	0.038
2.417	0.021
8.622	0.41
2.905	0.035
7.961	0.35
6.486	0.269
5.413	0.232
9.004	0.427
8.615	0.352
5.125	0.228
12.388	0.593
11.463	0.543
5.57	0.066
5.802	0.046
9.149	0.098
1.595	0.013
1.04	0.008
4.28	0.039
2.595	0.03
3.763	0.046
5.027	0.725
3.405	0.047
2.525	0.025
2.677	0.028
4.618	0.051
4.094	0.065
6.238	0.371
8.4	0.175
1.261	0.01
4.716	0.037
5.734	0.075
3.571	0.032
6.247	0.144
0.851	0.008
3.774	0.072
4.358	0.083
3.159	0.088
11.593	0.413
3.099	0.035
5.018	0.072
2.998	0.026
2.292	0.023
1.932	0.017
1.374	0.024
8.834	0.521
4.316	0.049
1.128	0.009
2.85	0.024
9.518	0.125
4.634	0.036
2.714	0.19
5.321	0.068
1.612	0.012
3.65	0.03
1.577	0.013
2.181	0.023
1.305	0.014
4.455	0.044
7.193	0.074
3.491	0.034
6.398	0.271
3.054	0.072
2.992	0.039
3.843	0.031
4.603	0.044
3.202	0.027
6.04	0.065
9.709	0.118
1.346	0.011
4.074	0.998
2.597	0.021
2.474	0.024
4.537	0.035
3.547	0.033
2.126	0.021
1.019	0.009
3.648	0.04
1.38	0.011
1.205	0.01
2.713	0.025
4.535	0.058
1.621	0.126
8.534	0.364
2.605	0.037
9.138	0.106
5.345	0.106
3.387	0.053
2.016	0.017
2.139	0.017
3.763	0.059
1.285	0.01
3.818	0.121
2.814	0.024
13.107	0.227
9.174	0.194
2.337	0.02
18.471	0.511
6.576	0.159
3.821	0.031
1.655	0.015
2.917	0.022
2.136	0.017
6.075	0.081
5.87	0.073
3.218	0.06
1.882	0.015
1.879	0.027
5.469	0.124
2.356	0.018
5.434	0.071
3.429	0.035
2.512	0.021
2.974	0.042
4.599	0.037
4.051	0.032
4.972	0.198
3.263	0.026
0.835	0.007
2.328	0.019
5.535	0.062
1.235	0.011
2.828	0.022
8.642	0.737
5.256	0.069
2.092	0.018
4.898	0.112
6.475	0.08
1.587	0.015
5.207	0.545
1.847	0.015
9.662	0.126
3.762	0.045
2.001	0.016
12.098	0.212
15.444	0.356
2.701	0.033
4.931	0.122
26.55	0.628
2.678	0.029
1.306	0.011
2.636	0.025
3.598	0.028
3.708	0.054
2.811	0.03
4.341	0.062
4.005	0.165
4.409	0.178
10.086	0.116
2.128	0.059
2.676	0.11
1.214	0.01
9.806	0.347
2.221	0.018
3.458	0.098
2.698	0.023
2.686	0.152
4.427	0.398
14.817	0.926
1.892	0.016
2.735	0.126
1.571	0.014
3.88	0.031
3.759	0.029
5.455	0.418
20.361	2.205
1.832	0.015
1.21	0.01
8.391	0.755
2.139	0.018
