ID,numax,numax_e,dnu,dnu_e,Teff,Teff_e,bp_rp,bp_rp_e,Lum,Type,Np,Done
# Lightning McQueen,,,,,,,,,,,,
228789925,1123.927,8.482,60.703,0.636,5735,34,0.832477,0.1,2.992,SG,9,1
# Mini Lightning,,,,,,,,,,,,
# 212772187,2000,134,90,2.5,6466,49,0.635046,0.1,3.099,MS,11,0
# Thunder Star,,,,,,,,,,,,
241011563,1411.071,11.517,73.489,0.618,5889,39,0.784698,0.1,2.713,MS,11,1
# Mini Thunder,,,,,,,,,,,,
# 226083290,2398.978,50.049,102.383,0.787,6204,42,0.687338,0.1,2.181,MS,9,0
# Socks,,,,,,,,,,,,
# 246438837,1062.117,16.122,55.52,0.516,6159,42,0.729884,0.1,5.469,MS,9,0
# Pants,,,,,,,,,,,,
246069493,2684.497,62.417,128.005,0.66,5979,39,0.760132,0.1,1.285,MS,8,0
